lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.0005,2022-09-26 13:02:32.673133,,,,,,,,,,,,,,
,2022-09-26 13:02:33.192150,0.011935274116694927,5.805075488751754e-05,0.011935274116694927,49.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:02:59.052241,,,,,,,,,,,,,,
,2022-09-26 13:02:59.572309,0.02644052356481552,0.00010601100802887231,0.02644052356481552,99.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:03:25.410842,,,,,,,,,,,,,,
,2022-09-26 13:03:25.931260,0.01094194408506155,5.2019106078660116e-05,0.01094194408506155,149.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:03:51.807085,,,,,,,,,,,,,,
,2022-09-26 13:03:52.333218,0.21535031497478485,0.0011455141939222813,0.21535031497478485,199.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:04:18.132551,,,,,,,,,,,,,,
,2022-09-26 13:04:18.651787,0.005356409586966038,2.988921187352389e-05,0.005356409586966038,249.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:04:44.447028,,,,,,,,,,,,,,
,2022-09-26 13:04:44.966838,0.01030738651752472,5.071117266197689e-05,0.01030738651752472,299.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:05:10.825338,,,,,,,,,,,,,,
,2022-09-26 13:05:11.348003,0.2076154500246048,0.0008180188597179949,0.2076154500246048,349.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:05:37.166577,,,,,,,,,,,,,,
,2022-09-26 13:05:37.685758,0.29294925928115845,0.0026625264436006546,0.29294925928115845,399.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:06:03.519658,,,,,,,,,,,,,,
,2022-09-26 13:06:04.041563,0.007597820367664099,3.7380414141807705e-05,0.007597820367664099,449.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:06:29.871590,,,,,,,,,,,,,,
,2022-09-26 13:07:04.819477,0.20196381211280823,0.000820353627204895,0.20196381211280823,499.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:07:30.582451,,,,,,,,,,,,,,
,2022-09-26 13:07:31.102376,0.005939825437963009,3.0515122489305213e-05,0.005939825437963009,549.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:07:56.968907,,,,,,,,,,,,,,
,2022-09-26 13:07:57.490387,0.002840410452336073,1.66963418450905e-05,0.002840410452336073,599.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:08:23.374497,,,,,,,,,,,,,,
,2022-09-26 13:08:23.894492,0.247193843126297,0.0012894707033410668,0.247193843126297,649.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:08:49.693862,,,,,,,,,,,,,,
,2022-09-26 13:08:50.227800,0.03169213980436325,0.0001231688802363351,0.03169213980436325,699.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:09:16.103515,,,,,,,,,,,,,,
,2022-09-26 13:09:16.621989,0.2550574839115143,0.0013179488014429808,0.2550574839115143,749.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:09:42.445592,,,,,,,,,,,,,,
,2022-09-26 13:09:42.965830,0.27127012610435486,0.001709962380118668,0.27127012610435486,799.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:10:08.760061,,,,,,,,,,,,,,
,2022-09-26 13:10:09.288456,0.17393073439598083,0.0006011644727550447,0.17393073439598083,849.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:10:35.172677,,,,,,,,,,,,,,
,2022-09-26 13:10:35.692610,0.04877042770385742,0.00017194970860145986,0.04877042770385742,899.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:11:01.539628,,,,,,,,,,,,,,
,2022-09-26 13:11:02.076706,0.06126464158296585,0.00021389494941104203,0.06126464158296585,949.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:11:27.988275,,,,,,,,,,,,,,
,2022-09-26 13:11:58.332423,0.04928632080554962,0.00016976283222902566,0.04928632080554962,999.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:12:24.214067,,,,,,,,,,,,,,
,2022-09-26 13:12:24.735190,0.13279764354228973,0.00043895526323467493,0.13279764354228973,1049.0,0.0,,,,,,,,,
